"","Sample_ID_Year","Salamander_ID","SEX","Date_Sample_FS","Pond","Diet_Category","Date_Sample_GF","Boat_Net","log_Boat_Net","Percent_Diet_FS","Year","Sample_ID","FS_Biomass_Pond_m3","log_FS_Biomass_Pond_m3","SE_Biomass","lower_biomass","upper_biomass","log_Boat_Net_Avg","log_Boat_Net_SE","FS_total_lower","FS_total_upper"
"1","01_2021","597","Male",2021-07-14,"52","Anostraca",2021-07-12,256.83,5.55230045301322,0.904139970428783,"2021",1,8722.72359538235,9.07380144357594,0.674968272835367,7.75086362881862,10.3967392583333,5.60974600402607,0.216351959311507,5.18569616377552,6.03379584427662
"2","01_2022","982091066167345","Male",2022-07-13,"8","Anostraca",2022-07-11,38.5,3.67630067190708,0.578947368421052,"2022",57,8.81411111070436,2.28382125925681,0.448422544721089,1.40491307160348,3.16272944691014,3.5989742962502,0.139376565024806,3.32579622880158,3.87215236369882
"3","02_2021","2304A","Female",2021-07-14,"52","Anostraca",2021-07-12,433.04,6.07313669575201,0.995446196850267,"2021",2,8722.72359538235,9.07380144357594,0.674968272835367,7.75086362881862,10.3967392583333,5.60974600402607,0.216351959311507,5.18569616377552,6.03379584427662
"4","02_2022","982000167212133","Male",2022-07-13,"8","Anostraca",2022-07-11,15.4999999999998,2.80336038090653,0.820105820105819,"2022",58,8.81411111070436,2.28382125925681,0.448422544721089,1.40491307160348,3.16272944691014,3.5989742962502,0.139376565024806,3.32579622880158,3.87215236369882
"5","03_2021","982000365435014","Male",2021-07-14,"52","Anostraca",2021-07-12,134.37,4.90801177019769,0.999962790697674,"2021",3,8722.72359538235,9.07380144357594,0.674968272835367,7.75086362881862,10.3967392583333,5.60974600402607,0.216351959311507,5.18569616377552,6.03379584427662
"6","03_2022","982091066165252","Male",2022-07-13,"8","Anostraca",2022-07-11,41.9,3.75887182593397,0.906926406926407,"2022",59,8.81411111070436,2.28382125925681,0.448422544721089,1.40491307160348,3.16272944691014,3.5989742962502,0.139376565024806,3.32579622880158,3.87215236369882
"7","04_2021","122A","Female",2021-07-14,"52","Anostraca",2021-07-12,388.49,5.96483819104027,0.997348038498369,"2021",4,8722.72359538235,9.07380144357594,0.674968272835367,7.75086362881862,10.3967392583333,5.60974600402607,0.216351959311507,5.18569616377552,6.03379584427662
"8","04_2022","900118000002910","Female",2022-07-13,"8","Anostraca",2022-07-11,34.1,3.55820113047182,0.977077363896848,"2022",60,8.81411111070436,2.28382125925681,0.448422544721089,1.40491307160348,3.16272944691014,3.5989742962502,0.139376565024806,3.32579622880158,3.87215236369882
"9","05_2021","9898","Female",2021-07-14,"52","Anostraca",2021-07-12,533.24,6.28084517619534,1,"2021",5,8722.72359538235,9.07380144357594,0.674968272835367,7.75086362881862,10.3967392583333,5.60974600402607,0.216351959311507,5.18569616377552,6.03379584427662
"10","05_2022","982000167212734","Female",2022-07-13,"8","Anostraca",2022-07-11,50.9,3.94931879017184,0.838550247116969,"2022",61,8.81411111070436,2.28382125925681,0.448422544721089,1.40491307160348,3.16272944691014,3.5989742962502,0.139376565024806,3.32579622880158,3.87215236369882
"11","06_2021","985170001736603","Female",2021-07-14,"52","Anostraca",2021-07-12,67.78,4.23091300500412,0.99315720837546,"2021",6,8722.72359538235,9.07380144357594,0.674968272835367,7.75086362881862,10.3967392583333,5.60974600402607,0.216351959311507,5.18569616377552,6.03379584427662
"12","06_2022","982091066167420","Female",2022-07-13,"8","Anostraca",2022-07-11,15.1000000000001,2.77881927199042,0.974193548387097,"2022",62,8.81411111070436,2.28382125925681,0.448422544721089,1.40491307160348,3.16272944691014,3.5989742962502,0.139376565024806,3.32579622880158,3.87215236369882
